ShipmentID,DepartureDate,DepartureHour,TimeBlock_3HR,DayOfWeek,LaneID,CustomerID,ServiceID,Weight_KG,DelayMinutes,Volume
SHP-100000,26/03/2026,8,6am - 9am,Thursday,LANE-104,CUST-003,SRV-02,12353,5,1
SHP-100001,26/03/2026,19,6pm - 9pm,Thursday,LANE-101,CUST-005,SRV-03,2934,6,1
SHP-100002,17/03/2026,16,3pm - 6pm,Tuesday,LANE-103,CUST-003,SRV-01,16220,27,1
SHP-100003,31/03/2026,13,12pm - 3pm,Tuesday,LANE-107,CUST-002,SRV-04,14569,2,1
SHP-100004,19/03/2026,6,6am - 9am,Thursday,LANE-106,CUST-002,SRV-03,13724,18,1
SHP-100005,12/03/2026,6,6am - 9am,Thursday,LANE-105,CUST-002,SRV-01,5772,1,1
SHP-100006,20/03/2026,4,3am - 6am,Friday,LANE-103,CUST-004,SRV-03,12838,3,1
SHP-100007,27/03/2026,17,3pm - 6pm,Friday,LANE-102,CUST-002,SRV-01,21085,4,1
SHP-100008,23/03/2026,13,12pm - 3pm,Monday,LANE-103,CUST-001,SRV-01,19648,3,1
SHP-100009,25/03/2026,16,3pm - 6pm,Wednesday,LANE-105,CUST-003,SRV-01,6799,44,1
SHP-100010,28/03/2026,2,12am - 3am,Saturday,LANE-104,CUST-002,SRV-01,2222,21,1
SHP-100011,05/03/2026,19,6pm - 9pm,Thursday,LANE-105,CUST-006,SRV-02,23262,1,1
SHP-100012,12/03/2026,17,3pm - 6pm,Thursday,LANE-107,CUST-006,SRV-02,9015,35,1
SHP-100013,16/03/2026,7,6am - 9am,Monday,LANE-104,CUST-006,SRV-02,15321,5,1
SHP-100014,01/03/2026,6,6am - 9am,Sunday,LANE-104,CUST-006,SRV-02,12365,10,1
SHP-100015,02/03/2026,6,6am - 9am,Monday,LANE-103,CUST-005,SRV-02,3872,0,1
SHP-100016,10/03/2026,7,6am - 9am,Tuesday,LANE-101,CUST-006,SRV-04,23238,13,1
SHP-100017,02/03/2026,12,12pm - 3pm,Monday,LANE-102,CUST-005,SRV-02,21085,0,1
SHP-100018,25/03/2026,9,9am - 12pm,Wednesday,LANE-103,CUST-005,SRV-02,14096,11,1
SHP-100019,10/03/2026,7,6am - 9am,Tuesday,LANE-101,CUST-004,SRV-02,5263,10,1
SHP-100020,23/03/2026,14,12pm - 3pm,Monday,LANE-103,CUST-006,SRV-02,17920,11,1
SHP-100021,18/03/2026,6,6am - 9am,Wednesday,LANE-106,CUST-005,SRV-04,22438,0,1
SHP-100022,01/03/2026,7,6am - 9am,Sunday,LANE-107,CUST-004,SRV-01,15328,42,1
SHP-100023,05/03/2026,8,6am - 9am,Thursday,LANE-106,CUST-003,SRV-01,16852,9,1
SHP-100024,12/03/2026,9,9am - 12pm,Thursday,LANE-101,CUST-001,SRV-01,6584,14,1
SHP-100025,17/03/2026,16,3pm - 6pm,Tuesday,LANE-101,CUST-005,SRV-04,513,8,1
SHP-100026,25/03/2026,6,6am - 9am,Wednesday,LANE-102,CUST-005,SRV-04,22588,17,1
SHP-100027,19/03/2026,11,9am - 12pm,Thursday,LANE-101,CUST-004,SRV-01,7607,2,1
SHP-100028,18/03/2026,13,12pm - 3pm,Wednesday,LANE-104,CUST-004,SRV-01,3765,12,1
SHP-100029,30/03/2026,4,3am - 6am,Monday,LANE-101,CUST-001,SRV-03,4328,12,1
SHP-100030,13/03/2026,14,12pm - 3pm,Friday,LANE-103,CUST-002,SRV-01,9025,13,1
